PARAM	TRUE	INITEST	CORREST	CORRLOW	CORRUPP
0.02	0.02	0.020622349719553058	0.020600911283955147	0.018868506322968173	0.02233331624494212
0.02	0.02	0.019433122827075204	0.02052513644725566	0.018960285032792682	0.022089987861718636
0.03	0.03	0.027803265456404217	0.027573530410835743	0.026177618556239235	0.02896944226543225
0.03	0.03	0.028688372986662342	0.030340249124827665	0.029291201062517553	0.031389297187137774
0.04	0.04	0.04093203677227015	0.040572857744002135	0.038925975487405465	0.042219740000598804
0.04	0.04	0.04295443545935185	0.04278981386155504	0.03804313618502933	0.04753649153808075
0.05	0.05	0.052653807464434425	0.055415057020540746	0.05163340876841372	0.05919670527266777
0.05	0.05	0.04814789553521978	0.04801914906036594	0.04447401925282009	0.05156427886791179
0.06	0.06	0.05452253816587826	0.055240644882016444	0.04857483504716063	0.061906454716872256
0.06	0.06	0.05374996113724659	0.0560598393705715	0.05413271013375506	0.05798696860738793
