MICROEXP	SIMNAME	SELCOEF	TIMEMUT
LARGEsMIDt	1	0.04	225
LARGEsMIDt	2	0.04	225
LARGEsMIDt	3	0.04	225
LARGEsMIDt	4	0.04	225
LARGEsMIDt	5	0.04	225
LARGEsMIDt	6	0.04	225
LARGEsMIDt	7	0.04	225
LARGEsMIDt	8	0.04	225
LARGEsMIDt	9	0.04	225
LARGEsMIDt	10	0.04	225
LARGEsMIDt	11	0.04	225
LARGEsMIDt	12	0.04	225
LARGEsMIDt	13	0.04	225
LARGEsMIDt	14	0.04	225
LARGEsMIDt	15	0.04	225
LARGEsMIDt	16	0.04	225
LARGEsMIDt	17	0.04	225
LARGEsMIDt	18	0.04	225
LARGEsMIDt	19	0.04	225
LARGEsMIDt	20	0.04	225
LARGEsMIDt	21	0.04	225
LARGEsMIDt	22	0.04	225
LARGEsMIDt	23	0.04	225
LARGEsMIDt	24	0.04	225
LARGEsMIDt	25	0.04	225
LARGEsMIDt	26	0.04	225
LARGEsMIDt	27	0.04	225
LARGEsMIDt	28	0.04	225
LARGEsMIDt	29	0.04	225
LARGEsMIDt	30	0.04	225
LARGEsMIDt	31	0.04	225
LARGEsMIDt	32	0.04	225
LARGEsMIDt	33	0.04	225
LARGEsMIDt	34	0.04	225
LARGEsMIDt	35	0.04	225
LARGEsMIDt	36	0.04	225
LARGEsMIDt	37	0.04	225
LARGEsMIDt	38	0.04	225
LARGEsMIDt	39	0.04	225
LARGEsMIDt	40	0.04	225
LARGEsMIDt	41	0.04	225
LARGEsMIDt	42	0.04	225
LARGEsMIDt	43	0.04	225
LARGEsMIDt	44	0.04	225
LARGEsMIDt	45	0.04	225
LARGEsMIDt	46	0.04	225
LARGEsMIDt	47	0.04	225
LARGEsMIDt	48	0.04	225
LARGEsMIDt	49	0.04	225
LARGEsMIDt	50	0.04	225
LARGEsMIDt	51	0.04	225
LARGEsMIDt	52	0.04	225
LARGEsMIDt	53	0.04	225
LARGEsMIDt	54	0.04	225
LARGEsMIDt	55	0.04	225
LARGEsMIDt	56	0.04	225
LARGEsMIDt	57	0.04	225
LARGEsMIDt	58	0.04	225
LARGEsMIDt	59	0.04	225
LARGEsMIDt	60	0.04	225
LARGEsMIDt	61	0.04	225
LARGEsMIDt	62	0.04	225
LARGEsMIDt	63	0.04	225
LARGEsMIDt	64	0.04	225
LARGEsMIDt	65	0.04	225
LARGEsMIDt	66	0.04	225
LARGEsMIDt	67	0.04	225
LARGEsMIDt	68	0.04	225
LARGEsMIDt	69	0.04	225
LARGEsMIDt	70	0.04	225
LARGEsMIDt	71	0.04	225
LARGEsMIDt	72	0.04	225
LARGEsMIDt	73	0.04	225
LARGEsMIDt	74	0.04	225
LARGEsMIDt	75	0.04	225
LARGEsMIDt	76	0.04	225
LARGEsMIDt	77	0.04	225
LARGEsMIDt	78	0.04	225
LARGEsMIDt	79	0.04	225
LARGEsMIDt	80	0.04	225
LARGEsMIDt	81	0.04	225
LARGEsMIDt	82	0.04	225
LARGEsMIDt	83	0.04	225
LARGEsMIDt	84	0.04	225
LARGEsMIDt	85	0.04	225
LARGEsMIDt	86	0.04	225
LARGEsMIDt	87	0.04	225
LARGEsMIDt	88	0.04	225
LARGEsMIDt	89	0.04	225
LARGEsMIDt	90	0.04	225
LARGEsMIDt	91	0.04	225
LARGEsMIDt	92	0.04	225
LARGEsMIDt	93	0.04	225
LARGEsMIDt	94	0.04	225
LARGEsMIDt	95	0.04	225
LARGEsMIDt	96	0.04	225
LARGEsMIDt	97	0.04	225
LARGEsMIDt	98	0.04	225
LARGEsMIDt	99	0.04	225
LARGEsMIDt	100	0.04	225
LARGEsMIDt	101	0.04	225
LARGEsMIDt	102	0.04	225
LARGEsMIDt	103	0.04	225
LARGEsMIDt	104	0.04	225
LARGEsMIDt	105	0.04	225
LARGEsMIDt	106	0.04	225
LARGEsMIDt	107	0.04	225
LARGEsMIDt	108	0.04	225
LARGEsMIDt	109	0.04	225
LARGEsMIDt	110	0.04	225
LARGEsMIDt	111	0.04	225
LARGEsMIDt	112	0.04	225
LARGEsMIDt	113	0.04	225
LARGEsMIDt	114	0.04	225
LARGEsMIDt	115	0.04	225
LARGEsMIDt	116	0.04	225
LARGEsMIDt	117	0.04	225
LARGEsMIDt	118	0.04	225
LARGEsMIDt	119	0.04	225
LARGEsMIDt	120	0.04	225
LARGEsMIDt	121	0.04	225
LARGEsMIDt	122	0.04	225
LARGEsMIDt	123	0.04	225
LARGEsMIDt	124	0.04	225
LARGEsMIDt	125	0.04	225
LARGEsMIDt	126	0.04	225
LARGEsMIDt	127	0.04	225
LARGEsMIDt	128	0.04	225
LARGEsMIDt	129	0.04	225
LARGEsMIDt	130	0.04	225
LARGEsMIDt	131	0.04	225
LARGEsMIDt	132	0.04	225
LARGEsMIDt	133	0.04	225
LARGEsMIDt	134	0.04	225
LARGEsMIDt	135	0.04	225
LARGEsMIDt	136	0.04	225
LARGEsMIDt	137	0.04	225
LARGEsMIDt	138	0.04	225
LARGEsMIDt	139	0.04	225
LARGEsMIDt	140	0.04	225
LARGEsMIDt	141	0.04	225
LARGEsMIDt	142	0.04	225
LARGEsMIDt	143	0.04	225
LARGEsMIDt	144	0.04	225
LARGEsMIDt	145	0.04	225
LARGEsMIDt	146	0.04	225
LARGEsMIDt	147	0.04	225
LARGEsMIDt	148	0.04	225
LARGEsMIDt	149	0.04	225
LARGEsMIDt	150	0.04	225
LARGEsMIDt	151	0.04	225
LARGEsMIDt	152	0.04	225
LARGEsMIDt	153	0.04	225
LARGEsMIDt	154	0.04	225
LARGEsMIDt	155	0.04	225
LARGEsMIDt	156	0.04	225
LARGEsMIDt	157	0.04	225
LARGEsMIDt	158	0.04	225
LARGEsMIDt	159	0.04	225
LARGEsMIDt	160	0.04	225
LARGEsMIDt	161	0.04	225
LARGEsMIDt	162	0.04	225
LARGEsMIDt	163	0.04	225
LARGEsMIDt	164	0.04	225
LARGEsMIDt	165	0.04	225
LARGEsMIDt	166	0.04	225
LARGEsMIDt	167	0.04	225
LARGEsMIDt	168	0.04	225
LARGEsMIDt	169	0.04	225
LARGEsMIDt	170	0.04	225
LARGEsMIDt	171	0.04	225
LARGEsMIDt	172	0.04	225
LARGEsMIDt	173	0.04	225
LARGEsMIDt	174	0.04	225
LARGEsMIDt	175	0.04	225
LARGEsMIDt	176	0.04	225
LARGEsMIDt	177	0.04	225
LARGEsMIDt	178	0.04	225
LARGEsMIDt	179	0.04	225
LARGEsMIDt	180	0.04	225
LARGEsMIDt	181	0.04	225
LARGEsMIDt	182	0.04	225
LARGEsMIDt	183	0.04	225
LARGEsMIDt	184	0.04	225
LARGEsMIDt	185	0.04	225
LARGEsMIDt	186	0.04	225
LARGEsMIDt	187	0.04	225
LARGEsMIDt	188	0.04	225
LARGEsMIDt	189	0.04	225
LARGEsMIDt	190	0.04	225
LARGEsMIDt	191	0.04	225
LARGEsMIDt	192	0.04	225
LARGEsMIDt	193	0.04	225
LARGEsMIDt	194	0.04	225
LARGEsMIDt	195	0.04	225
LARGEsMIDt	196	0.04	225
LARGEsMIDt	197	0.04	225
LARGEsMIDt	198	0.04	225
LARGEsMIDt	199	0.04	225
LARGEsMIDt	200	0.04	225
