MICROEXP	SIMNAME	SELCOEF	TIMEMUT
LARGEsLATEt	1	0.035	275
LARGEsLATEt	2	0.035	275
LARGEsLATEt	3	0.035	275
LARGEsLATEt	4	0.035	275
LARGEsLATEt	5	0.035	275
LARGEsLATEt	6	0.035	275
LARGEsLATEt	7	0.035	275
LARGEsLATEt	8	0.035	275
LARGEsLATEt	9	0.035	275
LARGEsLATEt	10	0.035	275
LARGEsLATEt	11	0.035	275
LARGEsLATEt	12	0.035	275
LARGEsLATEt	13	0.035	275
LARGEsLATEt	14	0.035	275
LARGEsLATEt	15	0.035	275
LARGEsLATEt	16	0.035	275
LARGEsLATEt	17	0.035	275
LARGEsLATEt	18	0.035	275
LARGEsLATEt	19	0.035	275
LARGEsLATEt	20	0.035	275
LARGEsLATEt	21	0.035	275
LARGEsLATEt	22	0.035	275
LARGEsLATEt	23	0.035	275
LARGEsLATEt	24	0.035	275
LARGEsLATEt	25	0.035	275
LARGEsLATEt	26	0.035	275
LARGEsLATEt	27	0.035	275
LARGEsLATEt	28	0.035	275
LARGEsLATEt	29	0.035	275
LARGEsLATEt	30	0.035	275
LARGEsEARLYt	1	0.035	225
LARGEsEARLYt	2	0.035	225
LARGEsEARLYt	3	0.035	225
LARGEsEARLYt	4	0.035	225
LARGEsEARLYt	5	0.035	225
LARGEsEARLYt	6	0.035	225
LARGEsEARLYt	7	0.035	225
LARGEsEARLYt	8	0.035	225
LARGEsEARLYt	9	0.035	225
LARGEsEARLYt	10	0.035	225
LARGEsEARLYt	11	0.035	225
LARGEsEARLYt	12	0.035	225
LARGEsEARLYt	13	0.035	225
LARGEsEARLYt	14	0.035	225
LARGEsEARLYt	15	0.035	225
LARGEsEARLYt	16	0.035	225
LARGEsEARLYt	17	0.035	225
LARGEsEARLYt	18	0.035	225
LARGEsEARLYt	19	0.035	225
LARGEsEARLYt	20	0.035	225
LARGEsEARLYt	21	0.035	225
LARGEsEARLYt	22	0.035	225
LARGEsEARLYt	23	0.035	225
LARGEsEARLYt	24	0.035	225
LARGEsEARLYt	25	0.035	225
LARGEsEARLYt	26	0.035	225
LARGEsEARLYt	27	0.035	225
LARGEsEARLYt	28	0.035	225
LARGEsEARLYt	29	0.035	225
LARGEsEARLYt	30	0.035	225
MIDsLATEt	1	0.03	300
MIDsLATEt	2	0.03	300
MIDsLATEt	3	0.03	300
MIDsLATEt	4	0.03	300
MIDsLATEt	5	0.03	300
MIDsLATEt	6	0.03	300
MIDsLATEt	7	0.03	300
MIDsLATEt	8	0.03	300
MIDsLATEt	9	0.03	300
MIDsLATEt	10	0.03	300
MIDsLATEt	11	0.03	300
MIDsLATEt	12	0.03	300
MIDsLATEt	13	0.03	300
MIDsLATEt	14	0.03	300
MIDsLATEt	15	0.03	300
MIDsLATEt	16	0.03	300
MIDsLATEt	17	0.03	300
MIDsLATEt	18	0.03	300
MIDsLATEt	19	0.03	300
MIDsLATEt	20	0.03	300
MIDsLATEt	21	0.03	300
MIDsLATEt	22	0.03	300
MIDsLATEt	23	0.03	300
MIDsLATEt	24	0.03	300
MIDsLATEt	25	0.03	300
MIDsLATEt	26	0.03	300
MIDsLATEt	27	0.03	300
MIDsLATEt	28	0.03	300
MIDsLATEt	29	0.03	300
MIDsLATEt	30	0.03	300
MIDsEARLYt	1	0.03	250
MIDsEARLYt	2	0.03	250
MIDsEARLYt	3	0.03	250
MIDsEARLYt	4	0.03	250
MIDsEARLYt	5	0.03	250
MIDsEARLYt	6	0.03	250
MIDsEARLYt	7	0.03	250
MIDsEARLYt	8	0.03	250
MIDsEARLYt	9	0.03	250
MIDsEARLYt	10	0.03	250
MIDsEARLYt	11	0.03	250
MIDsEARLYt	12	0.03	250
MIDsEARLYt	13	0.03	250
MIDsEARLYt	14	0.03	250
MIDsEARLYt	15	0.03	250
MIDsEARLYt	16	0.03	250
MIDsEARLYt	17	0.03	250
MIDsEARLYt	18	0.03	250
MIDsEARLYt	19	0.03	250
MIDsEARLYt	20	0.03	250
MIDsEARLYt	21	0.03	250
