MICROEXP	SIMNAME	SELCOEF	TIMEMUT
LARGEsLATEt	1	0.035	275
LARGEsLATEt	2	0.035	275
LARGEsLATEt	3	0.035	275
LARGEsLATEt	4	0.035	275
LARGEsLATEt	5	0.035	275
LARGEsLATEt	6	0.035	275
LARGEsLATEt	7	0.035	275
LARGEsLATEt	8	0.035	275
LARGEsLATEt	9	0.035	275
LARGEsLATEt	10	0.035	275
LARGEsLATEt	11	0.035	275
LARGEsLATEt	12	0.035	275
LARGEsLATEt	13	0.035	275
LARGEsLATEt	14	0.035	275
LARGEsLATEt	15	0.035	275
LARGEsLATEt	16	0.035	275
LARGEsLATEt	17	0.035	275
LARGEsLATEt	18	0.035	275
LARGEsLATEt	19	0.035	275
LARGEsLATEt	20	0.035	275
LARGEsLATEt	21	0.035	275
LARGEsLATEt	22	0.035	275
LARGEsLATEt	23	0.035	275
LARGEsLATEt	24	0.035	275
LARGEsLATEt	25	0.035	275
LARGEsLATEt	26	0.035	275
LARGEsLATEt	27	0.035	275
LARGEsLATEt	28	0.035	275
LARGEsLATEt	29	0.035	275
LARGEsLATEt	30	0.035	275
LARGEsLATEt	31	0.035	275
LARGEsLATEt	32	0.035	275
LARGEsLATEt	33	0.035	275
LARGEsLATEt	34	0.035	275
LARGEsLATEt	35	0.035	275
LARGEsLATEt	36	0.035	275
LARGEsLATEt	37	0.035	275
LARGEsLATEt	38	0.035	275
LARGEsLATEt	39	0.035	275
LARGEsLATEt	40	0.035	275
LARGEsLATEt	41	0.035	275
LARGEsLATEt	42	0.035	275
LARGEsLATEt	43	0.035	275
LARGEsLATEt	44	0.035	275
LARGEsLATEt	45	0.035	275
LARGEsLATEt	46	0.035	275
LARGEsLATEt	47	0.035	275
LARGEsLATEt	48	0.035	275
LARGEsLATEt	49	0.035	275
LARGEsLATEt	50	0.035	275
LARGEsLATEt	51	0.035	275
LARGEsLATEt	52	0.035	275
LARGEsLATEt	53	0.035	275
LARGEsLATEt	54	0.035	275
LARGEsLATEt	55	0.035	275
LARGEsLATEt	56	0.035	275
LARGEsLATEt	57	0.035	275
LARGEsLATEt	58	0.035	275
LARGEsLATEt	59	0.035	275
LARGEsLATEt	60	0.035	275
LARGEsLATEt	61	0.035	275
LARGEsLATEt	62	0.035	275
LARGEsLATEt	63	0.035	275
LARGEsLATEt	64	0.035	275
LARGEsLATEt	65	0.035	275
LARGEsLATEt	66	0.035	275
LARGEsLATEt	67	0.035	275
LARGEsLATEt	68	0.035	275
LARGEsLATEt	69	0.035	275
LARGEsLATEt	70	0.035	275
LARGEsLATEt	71	0.035	275
LARGEsLATEt	72	0.035	275
LARGEsLATEt	73	0.035	275
LARGEsLATEt	74	0.035	275
LARGEsLATEt	75	0.035	275
LARGEsLATEt	76	0.035	275
LARGEsLATEt	77	0.035	275
LARGEsLATEt	78	0.035	275
LARGEsLATEt	79	0.035	275
LARGEsLATEt	80	0.035	275
LARGEsLATEt	81	0.035	275
LARGEsLATEt	82	0.035	275
LARGEsLATEt	83	0.035	275
LARGEsLATEt	84	0.035	275
LARGEsLATEt	85	0.035	275
LARGEsLATEt	86	0.035	275
LARGEsLATEt	87	0.035	275
LARGEsLATEt	88	0.035	275
LARGEsLATEt	89	0.035	275
LARGEsLATEt	90	0.035	275
LARGEsLATEt	91	0.035	275
LARGEsLATEt	92	0.035	275
LARGEsLATEt	93	0.035	275
LARGEsLATEt	94	0.035	275
LARGEsLATEt	95	0.035	275
LARGEsLATEt	96	0.035	275
LARGEsLATEt	97	0.035	275
LARGEsLATEt	98	0.035	275
LARGEsLATEt	99	0.035	275
LARGEsLATEt	100	0.035	275
LARGEsEARLYt	1	0.035	225
LARGEsEARLYt	2	0.035	225
LARGEsEARLYt	3	0.035	225
LARGEsEARLYt	4	0.035	225
LARGEsEARLYt	5	0.035	225
LARGEsEARLYt	6	0.035	225
LARGEsEARLYt	7	0.035	225
LARGEsEARLYt	8	0.035	225
LARGEsEARLYt	9	0.035	225
LARGEsEARLYt	10	0.035	225
