MICROEXP	SIMNAME	SELCOEF	TIMEMUT
HUGEsEARLYt	1	0.04	200
HUGEsEARLYt	2	0.04	200
HUGEsEARLYt	3	0.04	200
HUGEsEARLYt	4	0.04	200
HUGEsEARLYt	5	0.04	200
HUGEsEARLYt	6	0.04	200
HUGEsEARLYt	7	0.04	200
HUGEsEARLYt	8	0.04	200
HUGEsEARLYt	9	0.04	200
HUGEsEARLYt	10	0.04	200
HUGEsEARLYt	11	0.04	200
HUGEsEARLYt	12	0.04	200
HUGEsEARLYt	13	0.04	200
HUGEsEARLYt	14	0.04	200
HUGEsEARLYt	15	0.04	200
HUGEsEARLYt	16	0.04	200
HUGEsEARLYt	17	0.04	200
HUGEsEARLYt	18	0.04	200
HUGEsEARLYt	19	0.04	200
HUGEsEARLYt	20	0.04	200
HUGEsEARLYt	21	0.04	200
HUGEsEARLYt	22	0.04	200
HUGEsEARLYt	23	0.04	200
HUGEsEARLYt	24	0.04	200
HUGEsEARLYt	25	0.04	200
HUGEsEARLYt	26	0.04	200
HUGEsEARLYt	27	0.04	200
HUGEsEARLYt	28	0.04	200
HUGEsEARLYt	29	0.04	200
HUGEsEARLYt	30	0.04	200
HUGEsLATEt	1	0.04	250
HUGEsLATEt	2	0.04	250
HUGEsLATEt	3	0.04	250
HUGEsLATEt	4	0.04	250
HUGEsLATEt	5	0.04	250
HUGEsLATEt	6	0.04	250
HUGEsLATEt	7	0.04	250
HUGEsLATEt	8	0.04	250
HUGEsLATEt	9	0.04	250
HUGEsLATEt	10	0.04	250
HUGEsLATEt	11	0.04	250
HUGEsLATEt	12	0.04	250
HUGEsLATEt	13	0.04	250
HUGEsLATEt	14	0.04	250
HUGEsLATEt	15	0.04	250
HUGEsLATEt	16	0.04	250
HUGEsLATEt	17	0.04	250
HUGEsLATEt	18	0.04	250
HUGEsLATEt	19	0.04	250
HUGEsLATEt	20	0.04	250
HUGEsLATEt	21	0.04	250
HUGEsLATEt	22	0.04	250
HUGEsLATEt	23	0.04	250
HUGEsLATEt	24	0.04	250
HUGEsLATEt	25	0.04	250
HUGEsLATEt	26	0.04	250
HUGEsLATEt	27	0.04	250
HUGEsLATEt	28	0.04	250
HUGEsLATEt	29	0.04	250
HUGEsLATEt	30	0.04	250
TEENYsEARLYt	1	0.01	350
TEENYsEARLYt	2	0.01	350
TEENYsEARLYt	3	0.01	350
TEENYsEARLYt	4	0.01	350
TEENYsEARLYt	5	0.01	350
TEENYsEARLYt	6	0.01	350
TEENYsEARLYt	7	0.01	350
TEENYsEARLYt	8	0.01	350
TEENYsEARLYt	9	0.01	350
TEENYsEARLYt	10	0.01	350
TEENYsEARLYt	11	0.01	350
TEENYsEARLYt	12	0.01	350
TEENYsEARLYt	13	0.01	350
TEENYsEARLYt	14	0.01	350
TEENYsEARLYt	15	0.01	350
TEENYsEARLYt	16	0.01	350
TEENYsEARLYt	17	0.01	350
TEENYsEARLYt	18	0.01	350
TEENYsEARLYt	19	0.01	350
TEENYsEARLYt	20	0.01	350
TEENYsEARLYt	21	0.01	350
TEENYsEARLYt	22	0.01	350
TEENYsEARLYt	23	0.01	350
TEENYsEARLYt	24	0.01	350
TEENYsEARLYt	25	0.01	350
TEENYsEARLYt	26	0.01	350
TEENYsEARLYt	27	0.01	350
TEENYsEARLYt	28	0.01	350
TEENYsEARLYt	29	0.01	350
TEENYsEARLYt	30	0.01	350
TEENYsLATEt	1	0.01	400
TEENYsLATEt	2	0.01	400
TEENYsLATEt	3	0.01	400
TEENYsLATEt	4	0.01	400
TEENYsLATEt	5	0.01	400
TEENYsLATEt	6	0.01	400
TEENYsLATEt	7	0.01	400
TEENYsLATEt	8	0.01	400
TEENYsLATEt	9	0.01	400
TEENYsLATEt	10	0.01	400
TEENYsLATEt	11	0.01	400
TEENYsLATEt	12	0.01	400
TEENYsLATEt	13	0.01	400
TEENYsLATEt	14	0.01	400
TEENYsLATEt	15	0.01	400
TEENYsLATEt	16	0.01	400
TEENYsLATEt	17	0.01	400
TEENYsLATEt	18	0.01	400
TEENYsLATEt	19	0.01	400
TEENYsLATEt	20	0.01	400
TEENYsLATEt	21	0.01	400
TEENYsLATEt	22	0.01	400
TEENYsLATEt	23	0.01	400
TEENYsLATEt	24	0.01	400
TEENYsLATEt	25	0.01	400
TEENYsLATEt	26	0.01	400
TEENYsLATEt	27	0.01	400
TEENYsLATEt	28	0.01	400
TEENYsLATEt	29	0.01	400
TEENYsLATEt	30	0.01	400
