MICROEXP	SIMNAME	SELCOEF	TIMEMUT
TINYsLATEt	101	0.015	375
TINYsLATEt	102	0.015	375
TINYsLATEt	103	0.015	375
TINYsLATEt	104	0.015	375
TINYsLATEt	105	0.015	375
TINYsLATEt	106	0.015	375
TINYsLATEt	107	0.015	375
TINYsLATEt	108	0.015	375
TINYsLATEt	109	0.015	375
TINYsLATEt	110	0.015	375
TINYsLATEt	111	0.015	375
TINYsLATEt	112	0.015	375
TINYsLATEt	113	0.015	375
TINYsLATEt	114	0.015	375
TINYsLATEt	115	0.015	375
TINYsLATEt	116	0.015	375
TINYsLATEt	117	0.015	375
TINYsLATEt	118	0.015	375
TINYsLATEt	119	0.015	375
TINYsLATEt	120	0.015	375
TINYsLATEt	121	0.015	375
TINYsLATEt	122	0.015	375
TINYsLATEt	123	0.015	375
TINYsLATEt	124	0.015	375
TINYsLATEt	125	0.015	375
TINYsLATEt	126	0.015	375
TINYsLATEt	127	0.015	375
TINYsLATEt	128	0.015	375
TINYsLATEt	129	0.015	375
TINYsLATEt	130	0.015	375
TINYsLATEt	131	0.015	375
TINYsLATEt	132	0.015	375
TINYsLATEt	133	0.015	375
TINYsLATEt	134	0.015	375
TINYsLATEt	135	0.015	375
TINYsLATEt	136	0.015	375
TINYsLATEt	137	0.015	375
TINYsLATEt	138	0.015	375
TINYsLATEt	139	0.015	375
TINYsLATEt	140	0.015	375
TINYsLATEt	141	0.015	375
TINYsLATEt	142	0.015	375
TINYsLATEt	143	0.015	375
TINYsLATEt	144	0.015	375
TINYsLATEt	145	0.015	375
TINYsLATEt	146	0.015	375
TINYsLATEt	147	0.015	375
TINYsLATEt	148	0.015	375
TINYsLATEt	149	0.015	375
TINYsLATEt	150	0.015	375
TINYsLATEt	151	0.015	375
TINYsLATEt	152	0.015	375
TINYsLATEt	153	0.015	375
TINYsLATEt	154	0.015	375
TINYsLATEt	155	0.015	375
TINYsLATEt	156	0.015	375
TINYsLATEt	157	0.015	375
TINYsLATEt	158	0.015	375
TINYsLATEt	159	0.015	375
TINYsLATEt	160	0.015	375
TINYsLATEt	161	0.015	375
TINYsLATEt	162	0.015	375
TINYsLATEt	163	0.015	375
TINYsLATEt	164	0.015	375
TINYsLATEt	165	0.015	375
TINYsLATEt	166	0.015	375
TINYsLATEt	167	0.015	375
TINYsLATEt	168	0.015	375
TINYsLATEt	169	0.015	375
TINYsLATEt	170	0.015	375
TINYsLATEt	171	0.015	375
TINYsLATEt	172	0.015	375
TINYsLATEt	173	0.015	375
TINYsLATEt	174	0.015	375
TINYsLATEt	175	0.015	375
TINYsLATEt	176	0.015	375
TINYsLATEt	177	0.015	375
TINYsLATEt	178	0.015	375
TINYsLATEt	179	0.015	375
TINYsLATEt	180	0.015	375
TINYsLATEt	181	0.015	375
TINYsLATEt	182	0.015	375
TINYsLATEt	183	0.015	375
TINYsLATEt	184	0.015	375
TINYsLATEt	185	0.015	375
TINYsLATEt	186	0.015	375
TINYsLATEt	187	0.015	375
TINYsLATEt	188	0.015	375
TINYsLATEt	189	0.015	375
TINYsLATEt	190	0.015	375
TINYsLATEt	191	0.015	375
TINYsLATEt	192	0.015	375
TINYsLATEt	193	0.015	375
TINYsLATEt	194	0.015	375
TINYsLATEt	195	0.015	375
TINYsLATEt	196	0.015	375
TINYsLATEt	197	0.015	375
TINYsLATEt	198	0.015	375
TINYsLATEt	199	0.015	375
TINYsLATEt	200	0.015	375
